person_id,keypoint,x,y,confidence
0,nose,655.04,282.6,0.966
0,left_eye,669.77,274.26,0.9527
0,right_eye,652.38,275.71,0.7464
0,left_ear,706.75,282.14,0.9295
0,right_ear,666.54,283.38,0.2863
0,left_shoulder,738.89,328.14,0.9989
0,right_shoulder,664.67,345.05,0.9821
0,left_elbow,832.39,281.71,0.9948
0,right_elbow,653.54,361.87,0.8561
0,left_wrist,904.4,214.68,0.9761
0,right_wrist,688.52,321.15,0.7603
0,left_hip,711.85,521.53,0.9993
0,right_hip,683.74,524.99,0.9972
0,left_knee,649.08,669.07,0.9979
0,right_knee,732.73,664.78,0.9933
0,left_ankle,634.25,807.21,0.9809
0,right_ankle,822.38,792.31,0.9611
1,nose,126.59,138.91,0.9415
1,left_eye,135.4,132.31,0.9085
1,right_eye,120.83,131.79,0.835
1,left_ear,149.73,135.37,0.7662
1,right_ear,115.36,134.61,0.488
1,left_shoulder,168.68,167.08,0.9858
1,right_shoulder,109.0,177.44,0.9615
1,left_elbow,215.01,176.99,0.9534
1,right_elbow,120.33,219.35,0.8476
1,left_wrist,236.2,155.02,0.9057
1,right_wrist,155.91,231.02,0.7848
1,left_hip,168.02,293.8,0.9939
1,right_hip,121.25,298.78,0.9894
1,left_knee,191.45,381.89,0.9911
1,right_knee,107.36,396.68,0.9865
1,left_ankle,201.82,460.43,0.9759
1,right_ankle,89.9,486.46,0.9687
2,nose,1212.28,105.79,0.8637
2,left_eye,1218.64,98.69,0.9052
2,right_eye,1211.83,98.48,0.4948
2,left_ear,1240.05,100.93,0.8762
2,right_ear,1222.54,101.62,0.1159
2,left_shoulder,1258.53,142.31,0.9638
2,right_shoulder,1236.51,141.24,0.8303
2,left_elbow,1277.51,195.54,0.889
2,right_elbow,1245.08,191.48,0.266
2,left_wrist,1263.73,238.51,0.8199
2,right_wrist,1239.55,227.48,0.2959
2,left_hip,1247.62,249.67,0.9488
2,right_hip,1234.65,247.13,0.8831
2,left_knee,1250.26,332.79,0.9337
2,right_knee,1247.16,330.51,0.8385
2,left_ankle,1253.29,414.01,0.8783
2,right_ankle,1252.01,408.98,0.7779
3,nose,1118.57,167.44,0.8299
3,left_eye,1123.59,159.69,0.8608
3,right_eye,1118.16,160.94,0.3445
3,left_ear,1146.72,166.06,0.9168
3,right_ear,1141.68,167.05,0.2213
3,left_shoulder,1152.79,216.21,0.9954
3,right_shoulder,1168.23,212.25,0.9502
3,left_elbow,1140.06,274.64,0.9871
3,right_elbow,1164.51,270.6,0.7078
3,left_wrist,1105.92,279.86,0.9605
3,right_wrist,1135.89,276.12,0.6652
3,left_hip,1151.64,329.53,0.9967
3,right_hip,1165.39,326.14,0.9888
3,left_knee,1115.9,428.06,0.9957
3,right_knee,1160.2,426.34,0.9862
3,left_ankle,1118.46,526.79,0.9831
3,right_ankle,1175.6,519.64,0.9666
4,nose,989.92,101.15,0.9749
4,left_eye,997.03,94.97,0.9788
4,right_eye,987.06,95.13,0.8906
4,left_ear,1016.02,100.21,0.9421
4,right_ear,987.23,101.23,0.3884
4,left_shoulder,1042.51,141.74,0.9976
4,right_shoulder,977.36,142.76,0.995
4,left_elbow,1056.1,194.23,0.9922
4,right_elbow,959.86,194.08,0.9501
4,left_wrist,1030.73,228.66,0.9837
4,right_wrist,982.49,233.51,0.9277
4,left_hip,1039.09,241.91,0.9978
4,right_hip,993.69,241.21,0.9966
4,left_knee,1047.45,319.9,0.9922
4,right_knee,981.23,318.37,0.9848
4,left_ankle,1044.05,396.27,0.969
4,right_ankle,976.87,392.59,0.9501
5,nose,436.42,75.28,0.9119
5,left_eye,442.22,69.22,0.9025
5,right_eye,430.57,69.73,0.7858
5,left_ear,451.74,74.31,0.7976
5,right_ear,422.06,76.15,0.3974
5,left_shoulder,471.88,111.43,0.9888
5,right_shoulder,411.95,116.11,0.9782
5,left_elbow,491.66,155.62,0.956
5,right_elbow,404.88,163.42,0.8372
5,left_wrist,479.69,191.03,0.9164
5,right_wrist,397.5,200.3,0.7763
5,left_hip,467.1,198.77,0.989
5,right_hip,430.01,200.77,0.9841
5,left_knee,464.28,262.48,0.9706
5,right_knee,436.28,264.0,0.951
5,left_ankle,464.31,323.82,0.9205
5,right_ankle,452.95,324.8,0.8849
6,nose,310.3,105.29,0.8782
6,left_eye,314.33,99.51,0.7497
6,right_eye,304.43,99.38,0.8463
6,left_ear,319.22,103.3,0.4158
6,right_ear,295.33,102.64,0.6914
6,left_shoulder,325.22,138.51,0.9395
6,right_shoulder,287.09,136.59,0.9716
6,left_elbow,336.92,180.2,0.6541
6,right_elbow,274.12,176.35,0.8579
6,left_wrist,336.08,197.42,0.5855
6,right_wrist,272.61,191.05,0.7636
6,left_hip,310.86,229.51,0.9608
6,right_hip,287.13,228.18,0.9738
6,left_knee,304.27,305.76,0.9383
6,right_knee,282.9,304.49,0.9557
6,left_ankle,296.26,376.61,0.882
6,right_ankle,274.26,375.56,0.9074
