Subject,Condition,Trial,CueText,TCueMarker,SwingOnsetHand,RTHand_ms,SwingOnsetForce,RTForce_ms,RTDiff_ms,PeakVelHandX,PeakVelTop,TPeakVelTop,PeakVelTopX,TPeakVelTopX,VelTopXAtPeak,BWBase_N,PeakFz1_N,PeakFz2_N,IsBadBW,PeakFz1_BW,PeakFz2_BW,IsGo
1,free,1,Go,646,848,808,3386,804,4,6.25378344210853,26.9548331233312,903,22.1560887837257,883,-14.8684345473045,716.636243773436,863.005146830219,1097.6907141937,0,1.20424434896857,1.53172648429534,1
1,free,2,Go,646,865,876,3428,846,30,6.85305054789283,28.1687349954416,916,26.1846703098381,906,21.3038444555205,718.178982929467,757.791518966689,1003.67411728533,0,1.05515691349758,1.39752643998481,1
1,free,3,Go,646,870,896,3531,949,-53,6.48609059706099,30.5372043281823,912,29.2492948933972,909,26.6279964779952,717.590032444443,800.980314230078,1005.3118471167,0,1.11620880727895,1.40095570125485,1
1,free,4,Go,646,885,956,3496,914,42,5.66635176791352,27.0924602448788,943,19.8921830605417,920,-20.6768596492803,719.821448831522,797.723276533191,1018.73723132293,0,1.10822382109914,1.41526378934198,1
1,free,5,Go,646,834,752,3276,694,58,6.79014479814205,28.9683701094614,887,21.6784421157075,879,-18.2161364529722,721.862896753634,814.99165360945,1114.38832470623,0,1.12901169636871,1.54376728561319,1
1,free,6,Go,646,913,1068,3578,996,72,8.01127535923968,25.8222785546183,947,20.1412088410155,947,20.1412088410155,719.826699857538,786.722734969203,1142.23829789558,0,1.09293352847971,1.58682402045054,1
1,free,7,Go,646,912,1064,3555,973,91,7.56870763683083,30.6048756001635,961,26.6849122713675,953,0.185935501439471,720.692416564545,799.112784389773,1058.57081216795,0,1.10881253364514,1.4688246855906,1
1,free,8,Go,646,933,1148,3205,623,525,6.5257354122477,28.6807951851558,989,20.8324106216776,981,-20.6281441790029,723.482966227437,770.46178184865,1156.52810021088,0,1.0649342386956,1.59855608797748,1
1,free,9,Go,646,837,764,3279,697,67,7.422881324445,26.521662878019,898,15.9437270624067,890,-23.6249005856639,718.736213767568,729.954422631471,1091.35898967512,0,1.01560824214644,1.51844163236786,1
1,free,10,Go,646,906,1040,3539,957,83,7.66696822836337,26.0076982268719,965,15.8901490323169,938,-23.4651344164497,719.814554856811,804.028225298872,1040.03967692765,0,1.11699356434771,1.44487169634204,1
1,free,12,Go,646,862,864,3372,790,74,6.76906884817902,28.0660817040223,923,19.5697931441059,915,-21.9284315480314,721.073587757199,794.277432989794,1113.12199224146,0,1.10152063045366,1.5437009635919,1
1,free,13,Go,646,913,1068,2766,184,884,8.21300626428528,27.219439727148,976,18.8300984263194,968,-21.3025796600874,719.007203847195,798.699004139799,1066.6136077443,0,1.11083588574106,1.4834532978768,1
1,free,14,Go,646,917,1084,3618,1036,48,6.61650231300986,26.6520283524974,975,17.2732798733215,967,-22.1696276764929,718.356638901546,828.456678957195,1050.30517979979,0,1.15326654490728,1.46209434551316,1
1,simple,1,Go,621,758,548,2769,287,261,8.47511798562173,32.810408002097,796,31.8215508899849,793,28.6186213937777,721.692374346771,742.97164019621,896.377772194501,0,1.0294852302807,1.24204966555985,1
1,simple,2,Go,721,855,536,3363,481,55,7.98712211847853,32.678606115645,894,31.4576604891061,890,27.0358058604902,157.967457861099,159.942475093625,907.295367312028,1,NaN,NaN,1
1,simple,3,Go,571,727,624,2873,591,33,7.82781244834131,32.6861491822245,768,30.8232869025849,764,25.7494851971726,719.16679422415,761.747095952088,807.044258011416,0,1.0592078250413,1.1221934389811,1
1,simple,4,Go,621,768,588,2959,477,111,7.59811403865138,32.9103738992681,806,32.0073570746188,803,28.492355903138,720.929408183538,741.244325756384,909.163873428146,0,1.02817878885539,1.26109971809707,1
1,simple,5,Go,721,867,584,3347,465,119,7.30217489913192,32.3871786305276,904,31.727026509977,902,30.1882027182491,723.107541965526,785.380896435711,1074.46423844454,0,1.08611907753156,1.48589826006235,1
1,simple,6,Go,571,727,624,2846,564,60,7.403241180739,32.7899324355833,766,31.547520879176,762,27.5473557739438,720.974980219777,747.358494226419,850.181426779737,0,1.03659421579179,1.17921072173763,1
1,simple,7,Go,671,816,580,3169,487,93,8.78488906548105,32.0703263768819,851,31.4009121340006,849,30.4976912296973,720.494545734399,751.61600625962,923.390812005016,0,1.04319458170707,1.28160694271989,1
1,simple,8,Go,621,765,576,2980,498,78,7.4811130124432,30.2462364322131,813,27.2649775292923,805,-5.28115123833206,720.534617954085,733.634125469334,982.591198378425,0,1.0181802611406,1.36369741840917,1
1,simple,9,Go,571,713,568,2814,532,36,7.40910149172752,26.5471499955203,768,17.5490831016222,760,-22.1084942500414,721.277650523546,740.081233547455,898.836764666464,0,1.0260698262455,1.24617304309101,1
1,simple,10,Go,721,857,544,3315,433,111,8.27078127350686,32.5006150921583,895,31.4453280853605,892,28.1760568082445,721.38720905695,753.299514033424,944.768009962861,0,1.04423741449227,1.30965450745645,1
1,simple,11,Go,671,807,544,3089,407,137,7.754343588504,31.9864937256167,847,31.0817770565486,841,21.2783991040672,721.161123316185,761.776369369972,951.319255855366,0,1.05631923954389,1.31914938991833,1
1,simple,12,Go,571,741,680,2882,600,80,7.76346716230114,32.8440859442238,781,31.5327955653126,777,27.1618394055345,719.447355478853,735.814043762454,862.061809260135,0,1.02274897274827,1.19822778233212,1
1,simple,13,Go,721,855,536,3297,415,121,7.2334079462606,31.7973466594818,895,30.8301331782431,890,22.7870242559746,720.216691127522,749.911664755027,985.666951457097,0,1.04123061016681,1.36856999233662,1
1,simple,14,Go,671,817,584,3161,479,105,8.52365000322334,32.8126341131138,857,31.4649437775858,853,27.3011957609468,721.151290185473,757.526855173878,947.143979687097,0,1.05044096222729,1.31337764013915,1
1,simple,15,Go,621,779,632,3015,533,99,7.84389581526437,32.4960648329568,818,31.5207817533322,814,26.6081704759998,722.308493909405,748.951776058735,998.849200171596,0,1.03688629217847,1.38285678293142,1
1,gonogo,1,Go,671,842,684,2926,244,440,8.32393488696341,31.7913875669737,883,30.4536397341074,879,26.3292696385132,NaN,NaN,NaN,1,NaN,NaN,1
1,gonogo,2,NoGo,571,733,648,3026,744,-96,1.25652733237037,2.86557346874044,654,1.18473937818975,679,0.478102277524931,720.155084214782,760.208801674534,947.630763445765,0,1.05561818327427,1.3158704065514,0
1,gonogo,3,Go,721,836,460,3207,325,135,7.43226115747546,34.1365054014348,882,28.1691838474537,870,8.71564945100661,719.694017399634,713.616136850785,1281.57307088332,0,0.991554910278664,1.7807193611444,1
1,gonogo,4,Go,671,854,732,3157,475,257,7.22132929358939,27.6081358016296,909,21.6772637998895,901,-17.8433096199506,719.724295871533,737.929825396169,1072.33716005626,0,1.02529514375027,1.48992769343396,1
1,gonogo,5,Go,571,755,736,2986,704,32,7.1384107932196,27.8594181944758,784,24.4098433325544,786,22.4015828406619,NaN,NaN,NaN,1,NaN,NaN,1
1,gonogo,6,NoGo,721,888,668,3455,573,95,0.329171667920916,2.43799254500952,296,0.829304697449809,818,0.231138119341244,719.266633942597,754.715017167596,780.332964091176,0,1.04928406456267,1.08490082434917,0
1,gonogo,7,Go,621,786,660,2977,495,165,5.791381433486,32.8490474791306,824,31.7509168652452,821,29.0006114009188,720.479136508076,735.31729381201,984.111710215906,0,1.02059484661256,1.36591284930966,1
1,gonogo,8,Go,571,724,612,2833,551,61,6.70512530712232,27.9257269076585,777,20.907020666453,769,-19.2855800882724,718.968022603306,743.570217312913,873.226753454123,0,1.03421876069053,1.2145557604805,1
1,gonogo,9,NoGo,671,840,676,3209,527,149,0.513817772440646,2.4449504554246,388,0.976307813857713,774,-0.105203035652549,18.6514098279359,29.896241183345,654.828301069797,1,NaN,NaN,0
1,gonogo,10,Go,621,771,600,2713,231,369,7.86966538278822,32.4391858180734,812,31.708123610991,808,27.7203366170103,719.404365205032,760.945373460955,959.382227902984,0,1.05774361439145,1.33357854678788,1
1,gonogo,11,NoGo,721,846,500,3320,438,62,0.463911129968221,2.34772808803557,387,0.833175569989117,849,0.0571843936603977,720.068147736556,751.140718465506,799.275016508748,0,1.04315226388866,1.10999912858411,0
1,gonogo,12,Go,671,820,596,3185,503,93,6.92770625585217,31.1229020754322,870,29.7880214157148,864,19.5149474959508,714.242841754107,735.80925970882,856.184914315722,0,1.03019479747497,1.19873082971755,1
1,gonogo,13,Go,571,720,596,2852,570,26,6.69243124746631,31.456047545463,765,29.9191408277788,759,19.4371185408314,719.863233666985,734.544375068071,848.176975016197,0,1.02039434814069,1.17824738832067,1
1,gonogo,14,NoGo,721,1211,1960,3122,240,1720,0.395611517551242,2.44568366575382,118,0.856733225349113,840,0.384208299596532,720.212085641762,735.574688237932,842.036890570771,0,1.02133066481727,1.16915129217868,0
1,gonogo,15,Go,621,759,552,2979,497,55,6.70460850775591,27.8718470763968,811,23.5163206721696,803,-12.8400777212405,719.62800511633,736.956642776946,921.971798132023,0,1.02407999346526,1.28117831932206,1
1,gostop,1,Go,571,758,748,2957,675,73,6.97434219969545,32.6144920622633,794,31.9753460375472,792,30.2564575436049,718.97390483317,741.179619413787,1117.79172024787,0,1.03088528586551,1.55470415926603,1
1,gostop,2,Stop,671,876,820,3271,589,231,2.00381249975041,5.53974517589371,892,2.14398961096364,952,-4.02103433346895,720.742727799493,739.778527564037,1164.28328205882,0,1.02641136570696,1.61539372809699,0
1,gostop,3,Go,721,892,684,3473,591,93,6.13323183409121,28.4120859167929,942,24.4523884150245,934,-12.2725075924972,721.433403175351,754.498388364958,1112.73229384849,0,1.04583234577727,1.54239086927616,1
1,gostop,4,Go,571,750,716,2934,652,64,6.95297908214552,31.864438347408,786,31.4955389819853,784,30.8391983449765,718.940249988924,745.771857026288,1051.68081143426,0,1.03732105281041,1.46282088316861,1
1,gostop,5,Go,721,886,660,3424,542,118,6.00543050242525,31.5994167523355,925,30.7018991739036,921,25.5748673903204,NaN,NaN,NaN,1,NaN,NaN,1
1,gostop,6,Go,621,800,716,3029,547,169,7.04863388424828,35.0655438764004,838,31.0683787686968,836,29.7051068498981,721.466271447725,739.526925121014,1104.22110377105,0,1.02503326127367,1.5305235289174,1
1,gostop,7,Stop,671,833,648,2923,241,407,4.65873100236323,8.65412659708178,856,1.33031027174476,874,-2.93301269957024,719.610544942234,753.897076914513,918.097177902593,0,1.04764595545919,1.27582507559876,0
1,gostop,8,Go,721,885,656,3406,524,132,8.80144640971217,30.5029236842963,932,28.3389758355304,924,0.298306213742855,718.951682535817,766.224209256669,1127.40385002299,0,1.06575202182449,1.56812186049349,1
