trial_id,block_id,trial_in_block,condition,trial_type,stimulus_color,response_required,isi_sec,led_duration_sec,voltage_on,notes
1,1,1,no_stimulus,practice,none,n/a,4.918,0.0,0.0,practice: no_stimulus
2,1,2,no_stimulus,practice,none,n/a,3.075,0.0,0.0,
3,1,3,no_stimulus,practice,none,n/a,3.825,0.0,0.0,
4,1,4,no_stimulus,practice,none,n/a,3.67,0.0,0.0,
5,1,5,no_stimulus,practice,none,n/a,5.209,0.0,0.0,
6,1,6,no_stimulus,practice,none,n/a,5.03,0.0,0.0,
7,1,7,no_stimulus,practice,none,n/a,5.677,0.0,0.0,
8,1,8,no_stimulus,practice,none,n/a,3.261,0.0,0.0,
9,1,9,no_stimulus,practice,none,n/a,4.266,0.0,0.0,
10,1,10,no_stimulus,practice,none,n/a,3.089,0.0,0.0,
11,2,1,no_stimulus,main,none,n/a,3.656,0.0,0.0,main: no_stimulus
12,2,2,no_stimulus,main,none,n/a,4.516,0.0,0.0,
13,2,3,no_stimulus,main,none,n/a,3.08,0.0,0.0,
14,2,4,no_stimulus,main,none,n/a,3.597,0.0,0.0,
15,2,5,no_stimulus,main,none,n/a,4.95,0.0,0.0,
16,2,6,no_stimulus,main,none,n/a,4.635,0.0,0.0,
17,2,7,no_stimulus,main,none,n/a,3.661,0.0,0.0,
18,2,8,no_stimulus,main,none,n/a,4.768,0.0,0.0,
19,2,9,no_stimulus,main,none,n/a,5.428,0.0,0.0,
20,2,10,no_stimulus,main,none,n/a,3.019,0.0,0.0,
21,2,11,no_stimulus,main,none,n/a,5.417,0.0,0.0,
22,2,12,no_stimulus,main,none,n/a,5.094,0.0,0.0,
23,2,13,no_stimulus,main,none,n/a,4.021,0.0,0.0,
24,2,14,no_stimulus,main,none,n/a,3.466,0.0,0.0,
25,2,15,no_stimulus,main,none,n/a,5.872,0.0,0.0,
26,2,16,no_stimulus,main,none,n/a,4.01,0.0,0.0,
27,2,17,no_stimulus,main,none,n/a,3.278,0.0,0.0,
28,2,18,no_stimulus,main,none,n/a,3.29,0.0,0.0,
29,2,19,no_stimulus,main,none,n/a,5.542,0.0,0.0,
30,2,20,no_stimulus,main,none,n/a,4.811,0.0,0.0,
31,2,21,no_stimulus,main,none,n/a,5.421,0.0,0.0,
32,2,22,no_stimulus,main,none,n/a,5.189,0.0,0.0,
33,2,23,no_stimulus,main,none,n/a,4.609,0.0,0.0,
34,2,24,no_stimulus,main,none,n/a,5.919,0.0,0.0,
35,2,25,no_stimulus,main,none,n/a,4.136,0.0,0.0,
36,2,26,no_stimulus,main,none,n/a,4.656,0.0,0.0,
37,2,27,no_stimulus,main,none,n/a,5.488,0.0,0.0,
38,2,28,no_stimulus,main,none,n/a,4.856,0.0,0.0,
39,2,29,no_stimulus,main,none,n/a,5.585,0.0,0.0,
40,2,30,no_stimulus,main,none,n/a,4.732,0.0,0.0,
41,3,1,simple_reaction,practice,white,go,5.114,0.15,5.0,practice: simple_reaction
42,3,2,simple_reaction,practice,white,go,3.137,0.15,5.0,
43,3,3,simple_reaction,practice,white,go,3.684,0.15,5.0,
44,3,4,simple_reaction,practice,white,go,3.868,0.15,5.0,
45,3,5,simple_reaction,practice,white,go,3.239,0.15,5.0,
46,3,6,simple_reaction,practice,white,go,3.698,0.15,5.0,
47,3,7,simple_reaction,practice,white,go,3.303,0.15,5.0,
48,3,8,simple_reaction,practice,white,go,3.834,0.15,5.0,
49,3,9,simple_reaction,practice,white,go,4.907,0.15,5.0,
50,3,10,simple_reaction,practice,white,go,4.094,0.15,5.0,
51,4,1,simple_reaction,main,white,go,4.111,0.15,5.0,main: simple_reaction
52,4,2,simple_reaction,main,white,go,3.629,0.15,5.0,
53,4,3,simple_reaction,main,white,go,3.801,0.15,5.0,
54,4,4,simple_reaction,main,white,go,5.81,0.15,5.0,
55,4,5,simple_reaction,main,white,go,4.944,0.15,5.0,
56,4,6,simple_reaction,main,white,go,4.827,0.15,5.0,
57,4,7,simple_reaction,main,white,go,3.513,0.15,5.0,
58,4,8,simple_reaction,main,white,go,5.187,0.15,5.0,
59,4,9,simple_reaction,main,white,go,3.49,0.15,5.0,
60,4,10,simple_reaction,main,white,go,4.138,0.15,5.0,
61,4,11,simple_reaction,main,white,go,5.969,0.15,5.0,
62,4,12,simple_reaction,main,white,go,4.92,0.15,5.0,
63,4,13,simple_reaction,main,white,go,4.671,0.15,5.0,
64,4,14,simple_reaction,main,white,go,5.054,0.15,5.0,
65,4,15,simple_reaction,main,white,go,5.529,0.15,5.0,
66,4,16,simple_reaction,main,white,go,5.328,0.15,5.0,
67,4,17,simple_reaction,main,white,go,3.687,0.15,5.0,
68,4,18,simple_reaction,main,white,go,3.096,0.15,5.0,
69,4,19,simple_reaction,main,white,go,3.946,0.15,5.0,
70,4,20,simple_reaction,main,white,go,3.803,0.15,5.0,
71,4,21,simple_reaction,main,white,go,3.633,0.15,5.0,
72,4,22,simple_reaction,main,white,go,5.829,0.15,5.0,
73,4,23,simple_reaction,main,white,go,5.629,0.15,5.0,
74,4,24,simple_reaction,main,white,go,3.944,0.15,5.0,
75,4,25,simple_reaction,main,white,go,4.966,0.15,5.0,
76,4,26,simple_reaction,main,white,go,4.187,0.15,5.0,
77,4,27,simple_reaction,main,white,go,5.744,0.15,5.0,
78,4,28,simple_reaction,main,white,go,4.377,0.15,5.0,
79,4,29,simple_reaction,main,white,go,3.795,0.15,5.0,
80,4,30,simple_reaction,main,white,go,3.74,0.15,5.0,
81,4,31,simple_reaction,main,white,go,4.684,0.15,5.0,
82,4,32,simple_reaction,main,white,go,3.788,0.15,5.0,
83,4,33,simple_reaction,main,white,go,4.754,0.15,5.0,
84,4,34,simple_reaction,main,white,go,5.693,0.15,5.0,
85,4,35,simple_reaction,main,white,go,4.198,0.15,5.0,
86,4,36,simple_reaction,main,white,go,3.658,0.15,5.0,
87,4,37,simple_reaction,main,white,go,5.993,0.15,5.0,
88,4,38,simple_reaction,main,white,go,4.529,0.15,5.0,
