ParticipantID,SequenceNo,第1条件,第2条件,第3条件,第4条件
P01,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P02,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P03,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P04,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P05,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P06,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P07,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P08,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P09,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P10,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P11,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P12,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P13,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P14,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P15,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P16,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P17,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P18,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P19,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P20,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P21,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P22,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P23,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P24,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P25,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P26,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P27,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P28,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P29,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P30,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P31,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P32,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P33,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P34,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P35,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P36,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
P37,1,自由スイング,単純反応課題,Go/Stop課題,Go/Nogo課題
P38,2,単純反応課題,Go/Nogo課題,自由スイング,Go/Stop課題
P39,3,Go/Nogo課題,Go/Stop課題,単純反応課題,自由スイング
P40,4,Go/Stop課題,自由スイング,Go/Nogo課題,単純反応課題
